"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM722393" "GATA1" "BLOOD" "CD34+" "24" "PRJNA142953_GSM722393_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM722394" "GATA1" "BLOOD" "CD34+" "24" "PRJNA142953_GSM722394_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM722395" "GATA1" "BLOOD" "CD34+" "24" "PRJNA142953_GSM722395_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM722396" "GATA2" "BLOOD" "CD34 Hematopoietic stem cells" "69" "PRJNA142953_GSM722396_GATA2_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM722412" "GATA1" "BLOOD" "K-562" "34" "PRJNA142955_GSM722412_GATA1_peaks.narrowPeak" "Myeloid"
"GSM722413" "GATA1" "BLOOD" "K-562" "34" "PRJNA142955_GSM722413_GATA1_peaks.narrowPeak" "Myeloid"
"GSM722414" "GATA2" "BLOOD" "K-562" "70" "PRJNA142955_GSM722414_GATA2_peaks.narrowPeak" "Myeloid"
"GSM722415" "GATA2" "BLOOD" "K-562" "70" "PRJNA142955_GSM722415_GATA2_peaks.narrowPeak" "Myeloid"
"GSM722423" "CEBPA" "BLOOD" "U-937" "71" "PRJNA142955_GSM722423_CEBPA_peaks.narrowPeak" "Lymphocyte"
"GSM722424" "CEBPA" "BLOOD" "U-937" "71" "PRJNA142955_GSM722424_CEBPA_peaks.narrowPeak" "Lymphocyte"
"GSM788364" "CEBPA" "BLOOD" "K-562" "72" "PRJNA142955_GSM788364_CEBPA_peaks.narrowPeak" "Myeloid"
"GSM788367" "GATA1" "BLOOD" "K-562" "34" "PRJNA142955_GSM788367_GATA1_peaks.narrowPeak" "Myeloid"
"GSM788368" "GATA2" "BLOOD" "K-562" "70" "PRJNA142955_GSM788368_GATA2_peaks.narrowPeak" "Myeloid"
"GSM788369" "CEBPA" "BLOOD" "U-937" "71" "PRJNA142955_GSM788369_CEBPA_peaks.narrowPeak" "Lymphocyte"
"GSM722704" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA142965_GSM722704_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM722705" "RUNX1" "BLOOD" "Kasumi-1" "73" "PRJNA142965_GSM722705_RUNX1_peaks.narrowPeak" "Myeloid"
